Name,Cap Rate,Vacancy Rate,Home Value to Rent Ratio,Rent as % of Income,Shadow Inventory %,Migration Total,Housing Unit Growth Rate,Building Permits,Vote Republican %,Vote Democrat %,Rental Rate,Rent For Houses,Home Value Growth (MoM),For Sale Inventory,Sale Inventory Growth (YoY),Inventory Surplus/Deficit,Price Cut %,Days on Market,Days on Market Growth (YoY),Inventory as % of Houses,Median Listing Price,Median Listing Price (YoY),New Listing Count,New Listing Count (YoY),Sale Inventory Growth (MoM),Population,Median Household Income,Population Growth,Income Growth,Remote Work %,Home Value,Home Value Growth (YoY),Home Value Growth (5-Year),Overvalued %,Value / Income Ratio,Mortgage Payment,Salary to Afford a House,Mtg Payment as % of Income,Property Tax Rate,Buy v Rent Differential,% Change from June 2022,% Crash from 2007-12,College Degree Rate,Homeownership Rate,Mortgaged Home %,Median Age,Poverty Rate,Housing Units,Migration % of Population,Rent Growth (YoY),Home Price Forecast,Investor Forecast,Long-Term Growth
"Decatur, IL",11.0%,12.0%,6.3,23.6%,0.5%,-545,-1.6%,48,58.7%,39.7%,"$1,172","$1,465",0.70%,160,3.5%,-43.3%,20.2%,65,7.9%,0.5%,"$160,325",9.7%,68,3.0%,-5.6%,"100,591","$59,462",-3.9%,16.9%,7.4%,"$110,855",5.6%,33.1%,3.5%,1.8,$844,"$33,760",17.0%,2.1%,-28.0%,13.2%,-8.5%,23.5%,69.2%,52%,40.2,14.3%,"49,594",-0.5%,13.6%,59,47,49.0
"Deltona, FL",6.1%,14.5%,12.0,32.5%,12.0%,"19,187",11.5%,"6,866",61.1%,38.0%,"$1,857","$2,322",-0.36%,"5,860",27.4%,45.5%,29.4%,81,15.7%,2.2%,"$388,604",-2.8%,"1,796",12.5%,0.0%,"721,796","$68,519",9.4%,25.6%,14.6%,"$334,458",-1.7%,53.4%,18.5%,4.8,"$2,169","$86,772",37.9%,0.7%,16.7%,-0.7%,-52.2%,30.0%,75.2%,55%,48.1,10.4%,"350,990",2.6%,2.1%,35,69,53.0
"Denver, CO",3.6%,5.2%,20.0,21.9%,1.6%,"6,913",9.8%,"19,064",37.9%,59.3%,"$1,922","$2,403",0.13%,"6,497",54.8%,65.9%,25.1%,72,15.2%,0.8%,"$569,950",-5.0%,"3,742",20.7%,-7.4%,"3,003,261","$105,116",2.5%,22.7%,22.3%,"$578,381",0.6%,36.2%,17.8%,5.5,"$3,631","$145,262",41.4%,0.5%,88.8%,-4.0%,-11.7%,49.9%,63.0%,72%,37.5,8.1%,"1,312,554",0.2%,-0.2%,32,47,54.0
"Des Moines, IA",4.1%,6.7%,14.7,17.7%,0.8%,"4,567",9.5%,"4,734",48.3%,49.9%,"$1,248","$1,561",0.38%,"2,683",24.3%,10.2%,20.1%,80,-1.2%,1.2%,"$354,495",-2.4%,900,25.0%,-5.7%,"735,101","$84,382",6.5%,18.5%,14.0%,"$276,474",3.3%,34.1%,18.0%,3.2,"$1,970","$78,803",28.0%,1.5%,57.7%,7.7%,-9.3%,39.8%,69.1%,67%,37.3,9.4%,"319,500",0.6%,1.9%,47,45,62.0
"Detroit, MI",6.0%,8.4%,11.3,23.5%,1.0%,"-7,979",1.1%,"6,462",45.2%,52.3%,"$1,455","$1,818",0.40%,"7,125",10.8%,-13.1%,15.8%,57,14.1%,0.5%,"$239,950",4.5%,"3,770",1.1%,-10.2%,"4,342,304","$74,025",0.3%,16.6%,13.7%,"$247,743",4.5%,41.4%,30.9%,3.3,"$1,721","$68,878",27.9%,1.3%,18.3%,7.3%,-47.8%,34.5%,72.0%,58%,40.5,12.9%,"1,934,332",-0.1%,5.1%,52,52,49.0
"Dothan, AL",8.9%,14.1%,8.9,27.1%,3.2%,"1,162",3.8%,512,76.2%,22.7%,"$1,325","$1,657",0.80%,468,45.5%,3.4%,20.5%,72,5.1%,1.0%,"$276,950",5.2%,142,-7.7%,-1.4%,"152,638","$58,553",2.8%,17.0%,2.7%,"$178,311",4.7%,36.0%,2.6%,3.0,"$1,093","$43,754",22.4%,0.3%,-17.5%,9.1%,-11.7%,20.7%,67.1%,54%,41.4,15.9%,"72,330",0.7%,5.2%,51,55,55.0
"Dover, DE",5.8%,4.7%,13.1,28.4%,1.3%,"2,051",6.5%,"1,316",48.1%,50.1%,"$1,764","$2,205",0.59%,464,30.8%,-2.1%,16.2%,64,-5.8%,0.8%,"$402,450",-2.3%,146,12.3%,-2.0%,"189,789","$74,368",6.2%,28.2%,9.2%,"$347,602",3.7%,53.8%,23.3%,4.6,"$2,159","$86,380",34.8%,0.4%,22.4%,11.1%,-,27.2%,73.0%,69%,39.0,10.4%,"77,902",1.0%,2.5%,52,63,49.0
"Dublin, GA",6.8%,16.1%,10.8,22.9%,2.9%,411,-2.5%,-,67.7%,32.0%,$983,"$1,229",0.17%,114,19.4%,-16.9%,14.8%,88,15.5%,0.7%,"$248,184",-12.9%,38,26.6%,0.0%,"65,198","$51,322",1.9%,29.5%,3.6%,"$159,853",3.8%,38.8%,9.4%,3.1,"$1,044","$41,788",24.4%,0.8%,6.2%,6.7%,-19.8%,16.3%,66.7%,37%,41.1,19.6%,"28,231",0.6%,-,53,-,48.0
"Dubuque, IA",4.0%,1.5%,15.7,17.3%,0.7%,74,4.9%,215,53.4%,44.9%,"$1,060","$1,325",0.80%,130,14.5%,-0.7%,30.5%,72,4.7%,0.4%,"$283,225",-2.8%,64,45.4%,-12.7%,"98,887","$73,378",2.0%,18.0%,10.9%,"$250,176",5.3%,37.0%,16.4%,3.4,"$1,712","$68,515",28.0%,1.1%,61.5%,9.3%,-,34.0%,74.1%,60%,39.5,8.6%,"43,566",0.0%,5.7%,50,39,53.0
"Duluth, MN",7.9%,16.7%,9.2,28.4%,12.8%,"1,848",-0.7%,658,43.8%,53.9%,"$1,699","$2,124",0.32%,427,18.3%,-25.5%,13.8%,87,7.4%,0.4%,"$277,475",11.4%,156,8.3%,-15.7%,"292,079","$71,612",0.9%,18.7%,10.2%,"$236,049",3.8%,44.2%,12.3%,3.2,"$1,590","$63,633",26.6%,1.0%,-6.3%,8.2%,-8.3%,31.9%,72.5%,58%,41.9,11.1%,"150,769",0.6%,3.0%,55,58,52.0
"Durango, CO",3.3%,18.9%,22.9,26.3%,15.6%,-105,4.2%,-,39.3%,57.9%,"$1,909","$2,386",0.24%,224,12.5%,-22.9%,11.7%,93,-11.0%,1.1%,"$875,500",2.4%,76,65.2%,-10.7%,"56,088","$87,001",1.7%,26.6%,17.9%,"$656,343",2.6%,57.1%,21.8%,7.5,"$3,990","$159,619",55.0%,0.2%,108.9%,7.3%,-,47.2%,70.9%,59%,42.3,11.7%,"28,613",-0.1%,6.2%,53,39,46.0
"Durant, OK",7.7%,11.5%,9.8,31.8%,4.1%,"1,050",1.7%,-,78.5%,20.0%,"$1,469","$1,836",0.29%,158,-3.9%,42.0%,18.4%,75,-24.2%,1.3%,"$306,873",2.0%,38,-13.6%,-4.5%,"47,237","$55,365",3.2%,25.2%,7.6%,"$217,535",1.2%,54.6%,26.7%,3.9,"$1,389","$55,592",30.1%,0.6%,-5.4%,5.7%,1.1%,24.3%,63.5%,47%,36.8,15.8%,"20,605",2.1%,-,39,-,45.0
"Durham, NC",4.2%,8.2%,16.5,23.0%,1.2%,"4,667",9.7%,"5,509",28.5%,69.7%,"$1,629","$2,037",0.15%,"1,111",25.8%,9.9%,16.8%,72,18.1%,0.6%,"$474,450",-3.1%,532,3.9%,-7.7%,"669,856","$84,945",5.6%,30.0%,19.5%,"$405,565",1.5%,55.6%,17.0%,4.7,"$2,619","$104,773",37.0%,0.7%,60.6%,3.0%,-9.9%,54.7%,62.8%,63%,38.4,9.4%,"300,380",0.6%,0.5%,47,57,55.0
"Dyersburg, TN",5.1%,8.6%,14.4,15.5%,3.0%,156,-3.3%,-,80.6%,18.8%,$727,$909,0.50%,74,-11.4%,-5.7%,10.9%,81,3.8%,0.7%,"$229,900",21.1%,20,42.8%,5.0%,"36,681","$56,072",-2.3%,26.9%,4.5%,"$158,059",3.7%,32.2%,11.1%,2.8,"$1,005","$40,236",21.5%,0.6%,38.2%,9.8%,-11.9%,21.6%,62.3%,49%,40.0,17.0%,"16,296",0.4%,-,51,-,45.0
"Eagle Pass, TX",7.3%,9.5%,9.5,39.2%,5.0%,-322,10.3%,-,58.9%,40.4%,"$1,557","$1,947",1.49%,189,37.5%,7.0%,7.2%,129,32.5%,1.4%,"$277,745",7.7%,20,-52.3%,1.0%,"57,770","$47,590",-0.3%,20.1%,4.3%,"$223,248",6.7%,39.1%,4.8%,4.6,"$1,559","$62,378",39.3%,1.3%,0.0%,13.1%,-,12.1%,67.6%,36%,31.3,22.9%,"20,258",-0.5%,-,48,-,39.0
"East Stroudsburg, PA",5.9%,23.4%,11.2,29.3%,23.2%,"-1,045",-2.1%,232,49.8%,49.1%,"$1,771","$2,214",0.22%,767,6.0%,-10.8%,15.9%,88,11.3%,1.2%,"$352,450",0.7%,232,11.5%,-8.7%,"166,053","$72,508",-2.0%,16.1%,10.2%,"$298,038",3.4%,71.1%,38.0%,4.1,"$2,105","$84,205",34.8%,1.4%,18.8%,5.2%,-24.2%,26.7%,79.1%,60%,44.5,8.5%,"79,881",-0.6%,3.0%,52,43,27.0
"Eau Claire, WI",3.6%,5.4%,17.3,17.6%,3.7%,"1,230",5.7%,"1,342",50.2%,48.1%,"$1,127","$1,409",0.45%,257,52.5%,14.7%,15.8%,89,-11.2%,0.4%,"$357,425",-10.6%,90,15.3%,-9.8%,"174,873","$76,686",3.9%,20.8%,12.8%,"$294,139",4.8%,48.9%,18.1%,3.8,"$1,999","$79,962",31.2%,1.1%,77.2%,10.6%,-,30.6%,68.4%,61%,38.4,9.0%,"76,796",0.7%,5.5%,48,48,60.0
"Edwards, CO",3.0%,37.4%,24.2,41.8%,41.9%,"-1,167",4.0%,-,36.5%,60.9%,"$3,669","$4,586",-0.18%,683,32.2%,1.0%,6.1%,105,-12.8%,2.8%,"$753,738",-35.0%,156,50.0%,3.6%,"55,374","$105,237",1.8%,24.1%,11.3%,"$1,333,925",6.8%,84.7%,45.1%,12.6,"$8,271","$330,868",94.3%,0.4%,125.4%,12.6%,-25.3%,50.2%,67.5%,67%,39.3,7.6%,"33,455",-2.1%,11.3%,51,42,46.0
"El Centro, CA",5.9%,14.9%,12.4,36.8%,6.7%,-917,1.5%,378,48.9%,48.4%,"$1,887","$2,359",0.73%,151,46.8%,-0.4%,13.3%,63,-7.7%,0.5%,"$383,750",8.4%,50,-13.7%,-2.5%,"179,057","$61,447",-1.5%,26.7%,6.4%,"$352,018",6.1%,41.0%,23.4%,5.7,"$2,263","$90,527",44.1%,0.6%,19.9%,11.6%,-,16.5%,56.1%,61%,33.4,15.3%,"58,804",-0.5%,15.3%,51,47,36.0
"El Paso, TX",6.4%,7.7%,9.8,29.4%,1.1%,"-2,115",8.6%,"2,357",41.9%,56.7%,"$1,476","$1,845",0.09%,"2,453",6.5%,12.2%,12.7%,81,6.9%,1.2%,"$293,950",-0.3%,926,4.7%,-4.3%,"873,211","$60,217",3.3%,23.3%,8.6%,"$219,186",3.3%,56.3%,7.8%,3.6,"$1,630","$65,235",32.4%,1.8%,10.4%,13.8%,-4.1%,25.8%,63.3%,50%,33.9,17.1%,"327,279",-0.2%,3.3%,47,67,52.0
"Elizabeth City, NC",6.7%,14.3%,11.1,27.4%,2.6%,575,0.9%,-,56.4%,42.1%,"$1,492","$1,865",0.56%,128,27.3%,0.1%,7.4%,65,4.4%,1.2%,"$379,700",18.2%,82,57.6%,-0.3%,"53,976","$65,190",1.9%,30.9%,8.4%,"$249,799",4.8%,56.8%,10.4%,3.8,"$1,607","$64,316",29.5%,0.6%,7.7%,12.9%,-,26.8%,65.0%,62%,39.0,9.0%,"24,483",1.0%,7.2%,51,47,45.0
"Elizabethtown, KY",7.3%,6.8%,10.4,26.3%,0.6%,731,2.1%,"1,159",67.7%,30.5%,"$1,455","$1,818",0.85%,378,59.1%,36.4%,21.4%,73,7.4%,1.1%,"$309,888",-1.7%,94,-2.0%,-1.6%,"157,333","$66,202",2.9%,19.8%,7.7%,"$227,635",4.6%,50.6%,21.7%,3.4,"$1,448","$57,925",26.2%,0.6%,-0.4%,10.8%,-9.0%,22.4%,65.1%,60%,37.8,15.6%,"67,252",0.4%,0.6%,44,58,50.0
"Elkhart, IN",4.5%,9.2%,15.3,18.2%,1.5%,"-1,450",1.7%,334,65.5%,33.1%,"$1,044","$1,305",0.83%,268,8.9%,10.9%,25.3%,69,17.3%,0.5%,"$276,000",5.1%,134,39.5%,-6.6%,"206,409","$68,531",0.4%,25.6%,3.6%,"$239,768",4.3%,48.0%,29.5%,3.4,"$1,572","$62,893",27.5%,0.8%,50.5%,7.9%,-12.6%,20.4%,71.5%,63%,36.3,11.8%,"80,903",-0.7%,7.3%,48,36,46.0
"Elko, NV",5.1%,12.4%,14.7,21.8%,4.2%,303,2.3%,-,77.7%,20.1%,"$1,546","$1,933",0.63%,149,-5.7%,-8.7%,12.6%,98,-0.2%,0.9%,"$418,050",-0.2%,42,5.0%,-9.1%,"55,512","$84,971",2.6%,5.2%,5.8%,"$342,098",3.8%,33.3%,20.5%,4.0,"$2,148","$85,943",30.3%,0.5%,38.9%,6.5%,-,17.5%,70.9%,54%,35.7,10.4%,"23,053",0.5%,-,50,-,43.0
"Ellensburg, WA",3.7%,19.4%,18.6,29.8%,20.6%,384,3.9%,-,55.2%,40.7%,"$1,773","$2,217",0.18%,214,39.0%,102.6%,15.4%,111,20.3%,1.3%,"$708,725",2.1%,58,93.3%,-17.5%,"44,736","$71,326",-0.1%,27.3%,13.1%,"$496,913",0.3%,47.3%,19.2%,6.9,"$3,204","$128,189",53.9%,0.7%,80.6%,-2.8%,-,35.2%,62.3%,60%,37.9,13.2%,"24,326",0.8%,8.4%,29,31,38.0
"Emporia, KS",3.6%,11.7%,15.6,14.1%,1.4%,91,-2.4%,-,58.2%,39.7%,$704,$880,0.48%,41,54.7%,-16.1%,14.2%,74,18.4%,0.4%,"$193,500",8.7%,18,-25.0%,-10.8%,"34,724","$59,963",-3.3%,29.7%,6.5%,"$165,470",7.3%,47.8%,15.2%,2.7,"$1,191","$47,672",23.8%,1.6%,69.1%,12.4%,-,27.8%,59.2%,53%,34.0,13.5%,"16,395",0.2%,-,52,-,53.0
"Enid, OK",9.7%,13.9%,7.7,20.3%,2.6%,32,3.6%,11,75.9%,22.1%,"$1,093","$1,367",0.55%,187,15.1%,-2.1%,14.0%,76,16.1%,1.2%,"$173,498",-29.8%,62,-6.0%,-3.3%,"62,322","$64,424",0.2%,-0.7%,4.1%,"$127,827",3.1%,27.2%,3.0%,1.9,$847,"$33,918",15.7%,0.9%,-22.4%,7.7%,-9.4%,22.5%,61.2%,50%,36.1,12.1%,"27,782",0.0%,4.8%,51,48,57.0
"Enterprise, AL",8.9%,14.5%,8.9,26.4%,2.1%,763,5.6%,-,78.3%,20.6%,"$1,456","$1,820",0.44%,195,43.3%,-0.1%,20.4%,76,21.0%,1.3%,"$274,950",-0.0%,58,7.4%,0.5%,"54,231","$65,965",5.7%,18.5%,4.0%,"$194,636",3.5%,38.9%,6.3%,2.9,"$1,195","$47,831",21.7%,0.3%,-17.8%,10.6%,-,21.5%,69.2%,55%,38.8,16.7%,"24,399",1.3%,4.3%,49,77,63.0
"Erie, PA",4.3%,7.6%,14.1,17.9%,1.4%,-966,-1.0%,391,50.0%,48.9%,$925,"$1,157",0.97%,197,-13.2%,-57.8%,11.1%,75,2.7%,0.2%,"$249,675",10.9%,96,-15.7%,-10.0%,"267,571","$61,876",-1.6%,19.4%,9.0%,"$196,805",7.2%,50.8%,19.8%,3.1,"$1,403","$56,132",27.2%,1.5%,51.6%,16.1%,3.8%,29.2%,69.0%,54%,41.3,13.1%,"120,289",-0.3%,7.8%,64,36,44.0
"Eugene, OR",4.2%,5.6%,16.5,29.9%,1.9%,409,5.0%,"1,051",36.6%,59.5%,"$1,791","$2,238",0.39%,654,19.2%,33.8%,30.4%,82,12.4%,0.6%,"$523,675",-0.6%,290,31.8%,-11.7%,"381,181","$71,781",0.4%,25.2%,14.5%,"$443,510",1.3%,44.3%,13.3%,6.1,"$2,891","$115,653",48.3%,0.7%,61.4%,0.3%,-25.5%,33.2%,59.6%,61%,40.4,14.1%,"171,785",0.1%,4.8%,39,50,43.0
"Eureka, CA",4.0%,11.2%,17.8,30.6%,6.9%,-613,-0.0%,-,33.5%,62.0%,"$1,602","$2,003",-0.63%,350,15.1%,27.4%,25.0%,104,13.9%,1.0%,"$467,000",5.8%,114,11.7%,-9.0%,"133,985","$62,853",-1.7%,21.6%,10.4%,"$430,264",-2.5%,8.7%,-15.7%,6.8,"$2,743","$109,754",52.3%,0.6%,71.1%,-10.6%,-21.9%,36.1%,54.6%,53%,39.5,15.7%,"63,280",-0.4%,8.6%,36,32,34.0
"Evansville, IN",5.3%,9.0%,13.7,18.0%,0.3%,"1,064",1.6%,892,60.2%,38.2%,$998,"$1,247",0.73%,495,6.4%,-3.6%,18.2%,72,19.6%,0.6%,"$269,000",14.4%,162,-38.1%,-14.2%,"315,333","$66,374",0.2%,19.4%,7.0%,"$205,388",5.0%,46.6%,21.4%,3.0,"$1,327","$53,099",23.9%,0.7%,33.0%,11.4%,-4.6%,29.0%,69.2%,61%,39.8,11.5%,"144,510",0.3%,6.1%,50,47,48.0
"Fairmont, WV",7.3%,12.6%,10.4,17.9%,2.4%,255,-0.2%,-,64.4%,33.2%,"$1,031","$1,289",0.54%,78,-14.7%,-35.0%,21.8%,80,11.8%,0.4%,"$192,250",9.8%,26,-13.3%,-11.3%,"56,042","$68,887",-0.8%,36.9%,9.2%,"$161,634",4.0%,31.4%,-6.6%,2.3,"$1,028","$41,127",17.9%,0.6%,-0.2%,5.3%,2.2%,25.8%,75.8%,51%,40.4,12.6%,"26,283",0.4%,13.8%,56,48,57.0
"Fallon, NV",3.7%,10.9%,19.3,20.4%,1.4%,102,0.1%,-,73.7%,23.5%,"$1,274","$1,592",0.42%,45,-6.2%,-2.4%,17.6%,69,-1.0%,0.6%,"$406,225",3.9%,24,9.0%,8.4%,"25,614","$74,733",6.6%,29.2%,5.0%,"$370,078",4.4%,45.4%,29.1%,4.9,"$2,341","$93,652",37.5%,0.5%,83.7%,0.3%,-,18.6%,68.0%,53%,39.8,8.7%,"10,924",0.3%,-,50,-,56.0
"Fargo, ND",3.9%,6.1%,15.9,20.4%,0.4%,"2,898",8.0%,"1,617",51.5%,45.6%,"$1,266","$1,583",0.33%,727,13.1%,4.6%,11.0%,90,18.8%,1.1%,"$372,195",3.4%,144,-32.7%,-11.0%,"262,620","$74,346",7.4%,18.3%,10.2%,"$303,880",4.0%,23.6%,8.2%,4.0,"$2,086","$83,465",33.6%,1.2%,64.6%,5.7%,-,42.9%,55.1%,65%,32.9,10.3%,"118,743",1.1%,6.1%,48,50,58.0
"Faribault, MN",4.7%,7.6%,14.2,22.2%,4.0%,353,1.2%,-,50.1%,47.6%,"$1,537","$1,921",0.73%,89,17.8%,-18.8%,11.1%,63,-4.9%,0.4%,"$414,870",2.4%,34,-5.5%,-14.8%,"67,948","$83,084",2.1%,14.6%,12.7%,"$328,869",3.7%,37.9%,21.2%,3.9,"$2,212","$88,500",31.9%,1.0%,43.9%,5.3%,-26.6%,28.0%,75.5%,61%,37.3,9.7%,"25,446",0.5%,-,53,-,47.0
"Farmington, NM",5.0%,11.9%,14.5,23.1%,2.9%,267,-5.5%,107,64.7%,32.9%,"$1,126","$1,407",0.88%,142,18.3%,-43.4%,14.4%,80,-3.3%,0.4%,"$381,995",13.8%,52,0.0%,-4.7%,"120,675","$58,470",-3.4%,31.9%,5.5%,"$246,248",6.2%,33.8%,14.7%,4.2,"$1,584","$63,388",32.5%,0.6%,40.7%,14.5%,-,20.4%,72.6%,46%,38.3,20.1%,"48,435",0.2%,2.5%,59,39,31.0
"Fayetteville, AR",5.4%,7.9%,14.0,24.6%,1.0%,"10,237",15.0%,"7,217",58.3%,38.7%,"$1,627","$2,033",0.44%,"1,787",-4.3%,7.3%,16.4%,68,-9.3%,1.2%,"$425,000",1.9%,802,15.9%,-4.6%,"589,594","$79,248",12.1%,28.4%,10.8%,"$343,436",3.8%,66.4%,23.0%,4.3,"$2,154","$86,163",32.6%,0.4%,32.3%,9.3%,-23.4%,36.6%,60.8%,61%,34.9,9.5%,"242,772",1.7%,6.6%,47,66,59.0
"Fayetteville, NC",6.7%,9.7%,11.0,27.9%,0.7%,"1,775",0.3%,"2,439",48.3%,50.2%,"$1,454","$1,818",0.15%,"1,355",55.6%,22.7%,17.0%,65,22.8%,1.5%,"$319,962",2.4%,460,-12.8%,-2.5%,"532,469","$62,444",2.4%,31.1%,7.5%,"$241,329",3.3%,64.0%,19.7%,3.8,"$1,573","$62,941",30.2%,0.7%,8.1%,17.5%,3.8%,27.9%,58.6%,65%,32.5,14.3%,"221,072",0.3%,5.1%,46,61,43.0
"Fergus Falls, MN",2.8%,31.3%,23.1,15.1%,33.3%,216,1.6%,-,66.0%,31.9%,$915,"$1,143",-0.01%,152,6.3%,0.6%,9.9%,84,-14.4%,0.5%,"$358,225",5.3%,26,0.0%,-13.1%,"60,281","$72,330",3.9%,23.2%,10.9%,"$317,294",5.9%,46.2%,19.3%,4.3,"$2,065","$82,602",34.2%,0.7%,125.6%,9.0%,-,27.3%,79.1%,54%,46.3,8.4%,"36,669",0.3%,7.2%,53,47,62.0
"Fernley, NV",5.1%,6.3%,14.6,28.9%,1.1%,"1,158",7.8%,-,71.1%,26.6%,"$1,792","$2,241",0.22%,-,-,-,-,-,-,-,-,-,-,-,-,"60,630","$74,283",14.0%,30.6%,7.0%,"$394,336",3.6%,40.2%,31.3%,5.3,"$2,466","$98,670",39.8%,0.4%,37.5%,-4.4%,-,16.1%,76.3%,65%,43.2,9.8%,"24,998",1.8%,2.6%,-,53,55.0
"Findlay, OH",7.1%,7.1%,10.2,24.2%,1.9%,-62,-0.8%,-,68.6%,30.2%,"$1,458","$1,823",0.71%,126,43.1%,2.3%,25.1%,74,16.5%,0.5%,"$239,700",2.0%,30,-28.5%,-11.5%,"74,704","$72,150",-1.6%,18.3%,8.5%,"$225,323",5.2%,43.6%,14.2%,3.1,"$1,498","$59,958",24.9%,0.9%,2.7%,10.9%,-14.7%,34.3%,71.5%,57%,39.5,10.8%,"34,097",-0.0%,8.3%,49,51,48.0
"Flagstaff, AZ",4.1%,19.8%,18.2,37.1%,26.0%,-4,6.2%,"1,059",39.3%,59.2%,"$2,266","$2,833",0.40%,353,14.9%,6.4%,13.9%,94,23.2%,0.7%,"$752,540",2.0%,98,-16.9%,-9.9%,"144,472","$73,172",1.1%,25.9%,11.5%,"$621,578",3.4%,66.7%,33.2%,8.4,"$3,849","$153,975",63.1%,0.4%,69.8%,1.6%,-32.6%,39.7%,60.0%,52%,32.7,16.4%,"71,047",-0.0%,1.8%,47,51,37.0
"Flint, MI",6.4%,10.9%,10.5,21.4%,0.6%,221,-4.3%,492,47.1%,51.3%,"$1,096","$1,370",0.46%,880,23.7%,3.3%,20.4%,66,9.0%,0.7%,"$157,198",-18.3%,338,-10.1%,-10.4%,"401,522","$61,227",-1.3%,21.5%,10.8%,"$173,890",4.2%,49.7%,35.3%,2.8,"$1,215","$48,621",23.8%,1.3%,10.8%,7.5%,-55.4%,22.8%,72.0%,54%,41.0,16.8%,"184,257",0.0%,9.1%,48,51,47.0
"Florence, AL",6.1%,10.3%,12.8,20.1%,3.3%,"1,697",1.4%,260,74.0%,24.6%,"$1,053","$1,316",0.22%,559,53.0%,19.9%,21.7%,87,12.9%,1.1%,"$287,175",-2.2%,154,57.1%,-5.2%,"154,462","$62,838",5.1%,37.1%,6.5%,"$202,661",3.5%,50.0%,11.0%,3.2,"$1,249","$49,977",23.8%,0.3%,18.6%,8.8%,-,29.3%,67.5%,52%,41.9,13.0%,"73,003",1.0%,10.4%,45,72,67.0
"Florence, SC",10.3%,14.7%,7.7,35.7%,1.1%,964,0.3%,686,54.2%,44.4%,"$1,520","$1,900",0.43%,583,28.2%,2.8%,18.2%,79,10.0%,1.1%,"$249,900",-1.0%,156,-7.1%,0.0%,"199,968","$50,973",-2.4%,4.9%,7.0%,"$175,911",2.2%,40.9%,19.4%,3.4,"$1,090","$43,614",25.6%,0.4%,-28.2%,6.7%,-9.9%,22.4%,66.6%,45%,40.2,19.2%,"92,330",0.4%,6.1%,48,45,29.0
"Fond du Lac, WI",3.5%,4.1%,17.0,16.8%,2.0%,267,1.7%,128,63.6%,35.0%,"$1,022","$1,277",0.53%,143,59.2%,-19.0%,10.9%,74,4.2%,0.4%,"$329,450",17.1%,62,34.7%,-9.8%,"103,948","$72,710",0.8%,11.2%,8.2%,"$261,390",7.2%,53.4%,30.6%,3.5,"$1,827","$73,116",30.1%,1.3%,78.8%,15.7%,-,23.9%,70.6%,57%,41.6,8.8%,"46,157",0.2%,12.9%,55,35,44.0
"Fort Collins, CO",3.7%,6.5%,19.5,25.0%,5.1%,"2,720",10.2%,"2,271",39.7%,57.3%,"$1,879","$2,349",0.13%,982,32.5%,31.3%,16.7%,75,4.9%,0.9%,"$582,438",-5.5%,490,30.3%,-10.8%,"370,771","$89,945",5.7%,19.6%,20.3%,"$550,481",1.5%,34.1%,20.0%,6.1,"$3,443","$137,757",45.9%,0.4%,83.2%,-1.5%,-6.1%,52.8%,63.3%,70%,37.3,10.1%,"167,381",0.7%,1.3%,41,53,54.0
"Fort Leonard Wood, MO",5.6%,15.1%,13.1,18.5%,3.9%,-291,1.6%,-,74.4%,24.2%,"$1,048","$1,311",0.46%,142,19.3%,-22.6%,11.6%,64,7.6%,1.3%,"$249,975",11.1%,48,26.3%,-5.3%,"53,850","$67,763",2.3%,26.6%,7.7%,"$207,026",3.9%,53.6%,8.7%,3.0,"$1,318","$52,739",23.3%,0.6%,25.7%,15.0%,-,27.8%,59.4%,59%,27.5,9.2%,"19,374",-0.5%,7.3%,56,42,55.0
"Fort Polk South, LA",8.3%,19.5%,9.2,22.9%,4.1%,-985,-0.2%,-,83.4%,15.5%,"$1,145","$1,431",1.63%,-,-,-,-,-,-,-,-,-,-,-,-,"47,764","$59,985",-6.3%,22.0%,4.6%,"$158,272",1.4%,5.9%,-10.6%,2.6,"$1,008","$40,352",20.1%,0.6%,-11.9%,-3.6%,-,18.7%,55.3%,45%,31.5,15.9%,"22,073",-2.1%,6.4%,-,41,46.0
"Fort Smith, AR",5.5%,11.6%,13.5,18.2%,2.8%,"1,551",-1.6%,621,73.3%,24.5%,$909,"$1,137",0.30%,701,12.8%,1.1%,22.9%,86,0.5%,1.1%,"$279,600",3.1%,212,9.2%,-2.6%,"246,786","$59,781",-1.0%,32.3%,6.0%,"$185,302",3.0%,40.5%,2.1%,3.0,"$1,166","$46,660",23.4%,0.5%,28.2%,6.3%,-2.3%,21.3%,66.0%,55%,39.4,12.7%,"109,376",0.6%,4.3%,47,49,47.0
"Fort Wayne, IN",5.4%,4.8%,13.4,20.8%,0.5%,"1,275",5.2%,"2,330",57.1%,41.0%,"$1,177","$1,472",0.38%,764,28.5%,26.0%,23.5%,59,3.5%,0.5%,"$289,950",-6.0%,348,-8.9%,-8.0%,"428,933","$67,643",4.8%,18.0%,9.1%,"$237,138",5.3%,57.0%,39.0%,3.5,"$1,534","$61,373",27.2%,0.7%,30.2%,14.1%,-5.2%,31.2%,69.4%,63%,37.2,11.6%,"183,005",0.2%,6.6%,46,59,55.0
